transaction_id,user_id,timestamp,amount,transaction_type,merchant_category,merchant_id,city,device_id,status,receiver_id
TXN00023016,U00226,2026-01-01 07:48:00,61.1,P2M,Utilities,M00080,Ahmedabad,D01093,SUCCESS,M00080
TXN00042385,U03827,2026-01-01 07:50:00,15.68,P2M,Shopping,M01026,Ahmedabad,D04238,SUCCESS,M01026
TXN00024797,U01078,2026-01-01 07:52:00,199.83,P2P,P2P,,Hyderabad,D02947,SUCCESS,U01777
TXN00018699,U01584,2026-01-01 07:59:00,121.22,P2P,P2P,,Pune,D04022,SUCCESS,U00910
TXN00048278,U00644,2026-01-01 08:01:00,222.15,P2P,P2P,,Ahmedabad,D03678,SUCCESS,U03260
TXN00016473,U00679,2026-01-01 08:08:00,340.85,P2P,P2P,,Chennai,D01047,SUCCESS,U04608
TXN00025059,U02697,2026-01-01 08:11:00,395.28,P2P,P2P,,Ahmedabad,D03284,SUCCESS,U04543
TXN00013426,U04796,2026-01-01 08:19:00,433.81,P2M,Shopping,M00599,Pune,D03126,SUCCESS,M00599
TXN00021333,U00284,2026-01-01 08:23:00,387.44,P2M,Grocery,M00858,Pune,D01625,SUCCESS,M00858
TXN00020344,U03682,2026-01-01 08:28:00,242.48,P2M,Shopping,M00582,Kolkata,D03630,SUCCESS,M00582
TXN00018806,U00478,2026-01-01 08:29:00,67.24,P2P,P2P,,Hyderabad,D01886,SUCCESS,U02576
TXN00016180,U01439,2026-01-01 08:42:00,160.04,P2M,Education,M01052,Delhi,D01681,SUCCESS,M01052
TXN00001789,U04413,2026-01-01 08:42:00,262.78,P2M,Grocery,M00754,Hyderabad,D02900,SUCCESS,M00754
TXN00025501,U01508,2026-01-01 08:48:00,224.34,P2M,Travel,M01405,Kolkata,D02613,SUCCESS,M01405
TXN00042871,U02039,2026-01-01 09:01:00,176.05,P2M,Healthcare,M01416,Mumbai,D02968,SUCCESS,M01416
TXN00021453,U04255,2026-01-01 09:05:00,314.8,P2P,P2P,,Hyderabad,D04116,SUCCESS,U00476
TXN00048684,U00437,2026-01-01 09:10:00,147.98,P2M,Food,M00829,Ahmedabad,D00817,SUCCESS,M00829
TXN00000913,U01885,2026-01-01 09:13:00,247.64,P2P,P2P,,Kolkata,D02418,SUCCESS,U00134
TXN00022643,U00518,2026-01-01 09:14:00,170.81,P2P,P2P,,Chennai,D01780,SUCCESS,U02267
TXN00032441,U01316,2026-01-01 09:15:00,201.89,P2P,P2P,,Pune,D01736,SUCCESS,U00962
TXN00042699,U01796,2026-01-01 09:15:00,248.25,P2P,P2P,,Delhi,D03284,SUCCESS,U02943
TXN00006323,U03793,2026-01-01 09:22:00,144.07,P2M,Shopping,M00049,Ahmedabad,D02591,FAILED,M00049
TXN00014042,U02859,2026-01-01 09:25:00,121.64,P2M,Grocery,M00165,Chennai,D00743,SUCCESS,M00165
TXN00049713,U04585,2026-01-01 09:27:00,170.64,P2M,Education,M00821,Kolkata,D01857,FAILED,M00821
TXN00012178,U02408,2026-01-01 09:46:00,95.5,P2M,Other,M01242,Pune,D00643,SUCCESS,M01242
TXN00029596,U00054,2026-01-01 09:47:00,280.63,P2M,Other,M00337,Hyderabad,D00095,SUCCESS,M00337
TXN00048016,U04957,2026-01-01 09:47:00,360.2,P2M,Education,M00981,Chennai,D01003,SUCCESS,M00981
TXN00040506,U02802,2026-01-01 09:52:00,21.74,P2M,Utilities,M00539,Pune,D02587,SUCCESS,M00539
TXN00045503,U00881,2026-01-01 09:57:00,1180.19,P2M,Utilities,M00478,Kolkata,D01595,SUCCESS,M00478
TXN00012057,U00288,2026-01-01 10:03:00,62.48,P2M,Utilities,M01251,Chennai,D04365,SUCCESS,M01251
TXN00002969,U01857,2026-01-01 10:04:00,42.63,P2M,Entertainment,M00817,Kolkata,D04345,SUCCESS,M00817
TXN00020870,U00653,2026-01-01 10:10:00,160.27,P2P,P2P,,Kolkata,D00467,SUCCESS,U02475
TXN00015286,U03355,2026-01-01 10:12:00,57.62,P2M,Grocery,M00697,Chennai,D03714,SUCCESS,M00697
TXN00015923,U00319,2026-01-01 10:25:00,648.6,P2M,Travel,M01182,Chennai,D03877,SUCCESS,M01182
TXN00005049,U00777,2026-01-01 10:32:00,519.87,P2M,Food,M00220,Pune,D01366,SUCCESS,M00220
TXN00027896,U03968,2026-01-01 10:33:00,432.29,P2P,P2P,,Mumbai,D00263,SUCCESS,U04533
TXN00040591,U04361,2026-01-01 10:33:00,258.84,P2M,Entertainment,M00817,Chennai,D02311,SUCCESS,M00817
TXN00003351,U04993,2026-01-01 10:40:00,128.83,P2P,P2P,,Chennai,D00436,SUCCESS,U02763
TXN00041604,U00328,2026-01-01 10:51:00,279.37,P2M,Utilities,M00227,Bengaluru,D03967,SUCCESS,M00227
TXN00002034,U03633,2026-01-01 10:52:00,307.86,P2P,P2P,,Mumbai,D03094,SUCCESS,U03146
TXN00036750,U00304,2026-01-01 10:54:00,164.42,P2M,Utilities,M01046,Chennai,D00236,SUCCESS,M01046
TXN00025513,U03365,2026-01-01 10:58:00,356.14,P2P,P2P,,Ahmedabad,D01094,SUCCESS,U02724
TXN00002836,U02364,2026-01-01 11:02:00,155.27,P2M,Food,M00914,Pune,D03024,SUCCESS,M00914
TXN00016567,U04103,2026-01-01 11:07:00,103.88,P2M,Food,M00189,Delhi,D01423,SUCCESS,M00189
TXN00049068,U02863,2026-01-01 11:09:00,73.91,P2P,P2P,,Bengaluru,D01447,SUCCESS,U01572
TXN00021573,U00513,2026-01-01 11:14:00,68.59,P2P,P2P,,Ahmedabad,D03040,SUCCESS,U01219
TXN00007729,U00057,2026-01-01 11:16:00,274.99,P2M,Fuel,M00536,Delhi,D02405,SUCCESS,M00536
TXN00035944,U04056,2026-01-01 11:18:00,480.93,P2P,P2P,,Delhi,D01904,SUCCESS,U03941
TXN00028398,U01357,2026-01-01 11:24:00,218.45,P2M,Shopping,M01225,Chennai,D03518,SUCCESS,M01225
TXN00025467,U00375,2026-01-01 11:29:00,249.15,P2M,Other,M00372,Kolkata,D04100,SUCCESS,M00372
TXN00002731,U02478,2026-01-01 11:38:00,570.35,P2M,Healthcare,M00385,Bengaluru,D04107,SUCCESS,M00385
TXN00034353,U03965,2026-01-01 11:40:00,227.02,P2P,P2P,,Chennai,D03699,SUCCESS,U02376
TXN00020737,U00611,2026-01-01 11:41:00,422.51,P2M,Entertainment,M01378,Chennai,D02470,SUCCESS,M01378
TXN00007198,U04332,2026-01-01 11:52:00,183.33,P2M,Other,M00232,Bengaluru,D02942,SUCCESS,M00232
TXN00000766,U02058,2026-01-01 11:56:00,110.2,P2M,Utilities,M00227,Mumbai,D04185,SUCCESS,M00227
TXN00004048,U00342,2026-01-01 11:58:00,2191.75,P2M,Utilities,M00654,Mumbai,D00421,SUCCESS,M00654
TXN00004383,U00120,2026-01-01 11:59:00,113.66,P2P,P2P,,Kolkata,D00411,SUCCESS,U02399
TXN00003379,U00162,2026-01-01 12:04:00,307.99,P2M,Entertainment,M01439,Mumbai,D00343,SUCCESS,M01439
TXN00047855,U01113,2026-01-01 12:06:00,56.23,P2M,Food,M00922,Mumbai,D01975,SUCCESS,M00922
TXN00001853,U02016,2026-01-01 12:08:00,72.63,P2M,Healthcare,M00919,Bengaluru,D03995,SUCCESS,M00919
TXN00034362,U03912,2026-01-01 12:09:00,193.44,P2M,Other,M00432,Hyderabad,D00695,SUCCESS,M00432
TXN00023773,U02461,2026-01-01 12:14:00,251.98,P2M,Utilities,M00045,Ahmedabad,D00069,SUCCESS,M00045
TXN00031383,U03339,2026-01-01 12:17:00,40.8,P2M,Education,M01426,Chennai,D01000,SUCCESS,M01426
TXN00047731,U00146,2026-01-01 12:18:00,226.19,P2M,Fuel,M01234,Hyderabad,D00946,SUCCESS,M01234
TXN00008655,U00560,2026-01-01 12:30:00,388.84,P2M,Food,M01042,Delhi,D01762,SUCCESS,M01042
TXN00035385,U04067,2026-01-01 12:33:00,698.47,P2M,Food,M00949,Hyderabad,D04093,SUCCESS,M00949
TXN00040851,U01198,2026-01-01 12:39:00,344.07,P2M,Fuel,M01144,Ahmedabad,D02387,PENDING,M01144
TXN00030306,U02318,2026-01-01 13:00:00,290.78,P2M,Food,M00549,Chennai,D00734,SUCCESS,M00549
TXN00027152,U01310,2026-01-01 13:20:00,604.46,P2P,P2P,,Hyderabad,D03024,SUCCESS,U00242
TXN00038040,U04039,2026-01-01 13:22:00,99.9,P2M,Utilities,M00101,Hyderabad,D03638,SUCCESS,M00101
TXN00038166,U03474,2026-01-01 13:25:00,365.32,P2M,Shopping,M01115,Pune,D03017,SUCCESS,M01115
TXN00028899,U02250,2026-01-01 13:26:00,93.14,P2M,Healthcare,M01124,Ahmedabad,D04421,SUCCESS,M01124
TXN00044804,U01629,2026-01-01 13:27:00,441.54,P2M,Other,M00907,Delhi,D00828,SUCCESS,M00907
TXN00048161,U01567,2026-01-01 13:29:00,160.39,P2P,P2P,,Delhi,D00274,SUCCESS,U02672
TXN00032143,U03855,2026-01-01 13:42:00,142.54,P2M,Other,M00007,Ahmedabad,D00346,SUCCESS,M00007
TXN00033492,U00643,2026-01-01 13:42:00,477.39,P2M,Utilities,M00365,Kolkata,D04048,SUCCESS,M00365
TXN00042088,U01388,2026-01-01 13:51:00,185.95,P2P,P2P,,Pune,D01955,SUCCESS,U03363
TXN00033317,U03667,2026-01-01 13:55:00,513.5,P2P,P2P,,Hyderabad,D01767,SUCCESS,U00550
TXN00026448,U03111,2026-01-01 13:58:00,108.12,P2M,Entertainment,M00400,Hyderabad,D03900,SUCCESS,M00400
TXN00008997,U02866,2026-01-01 14:01:00,540.31,P2P,P2P,,Pune,D00875,SUCCESS,U03522
TXN00036008,U02556,2026-01-01 14:03:00,934.75,P2P,P2P,,Mumbai,D01466,SUCCESS,U03081
TXN00032855,U04754,2026-01-01 14:13:00,169.62,P2P,P2P,,Mumbai,D00685,SUCCESS,U00422
TXN00049462,U04142,2026-01-01 14:16:00,74.34,P2M,Entertainment,M00830,Kolkata,D03157,SUCCESS,M00830
TXN00046864,U02178,2026-01-01 14:19:00,394.05,P2P,P2P,,Chennai,D02128,SUCCESS,U02155
TXN00008462,U02326,2026-01-01 14:25:00,31.89,P2P,P2P,,Chennai,D02846,SUCCESS,U00732
TXN00026625,U02154,2026-01-01 14:34:00,274.37,P2P,P2P,,Ahmedabad,D01636,SUCCESS,U03559
TXN00014818,U01688,2026-01-01 14:35:00,104.58,P2M,Entertainment,M00257,Ahmedabad,D00523,SUCCESS,M00257
TXN00028109,U04161,2026-01-01 14:40:00,319.47,P2M,Utilities,M00017,Hyderabad,D00053,SUCCESS,M00017
TXN00034437,U02457,2026-01-01 14:41:00,107.93,P2P,P2P,,Kolkata,D02093,SUCCESS,U02046
TXN00029465,U00682,2026-01-01 14:43:00,160.46,P2M,Food,M01392,Pune,D02531,SUCCESS,M01392
TXN00035593,U02768,2026-01-01 14:43:00,41.38,P2M,Healthcare,M00054,Hyderabad,D02370,SUCCESS,M00054
TXN00031714,U04375,2026-01-01 14:44:00,193.22,P2P,P2P,,Chennai,D03840,SUCCESS,U01105
TXN00032949,U00744,2026-01-01 14:45:00,229.17,P2P,P2P,,Pune,D03059,SUCCESS,U02465
TXN00002235,U00841,2026-01-01 14:59:00,71.56,P2M,Grocery,M01307,Pune,D01727,SUCCESS,M01307
TXN00001582,U03635,2026-01-01 15:07:00,531.84,P2M,Entertainment,M00966,Chennai,D04231,SUCCESS,M00966
TXN00006539,U00567,2026-01-01 15:11:00,129.14,P2M,Shopping,M01131,Hyderabad,D03067,SUCCESS,M01131
TXN00043298,U00545,2026-01-01 15:11:00,38.56,P2M,Education,M00930,Chennai,D04205,SUCCESS,M00930
TXN00017988,U02462,2026-01-01 15:13:00,208.06,P2P,P2P,,Delhi,D03184,SUCCESS,U03844
TXN00048776,U02772,2026-01-01 15:14:00,29.33,P2P,P2P,,Mumbai,D00423,SUCCESS,U00597
TXN00041974,U04769,2026-01-01 15:21:00,174.16,P2M,Entertainment,M00287,Ahmedabad,D01185,SUCCESS,M00287
TXN00046966,U00066,2026-01-01 15:25:00,63.77,P2P,P2P,,Ahmedabad,D00160,SUCCESS,U02716
TXN00006285,U03090,2026-01-01 15:29:00,120.89,P2M,Food,M00429,Bengaluru,D00542,SUCCESS,M00429
TXN00027498,U02997,2026-01-01 15:31:00,30.46,P2M,Education,M00501,Kolkata,D02995,SUCCESS,M00501
TXN00010188,U00801,2026-01-01 15:36:00,79.78,P2P,P2P,,Ahmedabad,D01758,SUCCESS,U03256
TXN00046428,U03092,2026-01-01 15:39:00,20.63,P2P,P2P,,Kolkata,D03355,SUCCESS,U00868
TXN00033983,U01451,2026-01-01 15:41:00,341.92,P2P,P2P,,Bengaluru,D02390,SUCCESS,U01798
TXN00021495,U03114,2026-01-01 15:46:00,233.26,P2M,Fuel,M00450,Mumbai,D00480,SUCCESS,M00450
TXN00031011,U00678,2026-01-01 15:49:00,56.92,P2M,Travel,M01011,Hyderabad,D03086,SUCCESS,M01011
TXN00017483,U00856,2026-01-01 15:49:00,228.33,P2P,P2P,,Delhi,D02615,SUCCESS,U00347
TXN00027113,U01522,2026-01-01 15:58:00,176.02,P2P,P2P,,Bengaluru,D04033,SUCCESS,U02615
TXN00012135,U00429,2026-01-01 16:02:00,144.67,P2P,P2P,,Bengaluru,D03138,SUCCESS,U02695
TXN00023819,U04490,2026-01-01 16:17:00,173.06,P2M,Healthcare,M01442,Mumbai,D02714,SUCCESS,M01442
TXN00003828,U02894,2026-01-01 16:18:00,303.21,P2M,Food,M01377,Delhi,D03294,SUCCESS,M01377
TXN00048858,U01952,2026-01-01 16:18:00,2117.87,P2M,Healthcare,M01375,Kolkata,D00595,SUCCESS,M01375
TXN00034278,U04387,2026-01-01 16:19:00,252.89,P2M,Shopping,M01308,Mumbai,D03930,FAILED,M01308
TXN00040319,U04944,2026-01-01 16:21:00,582.54,P2M,Other,M01349,Pune,D01855,SUCCESS,M01349
TXN00015830,U04933,2026-01-01 16:21:00,154.16,P2M,Travel,M01010,Hyderabad,D02599,SUCCESS,M01010
TXN00047024,U04775,2026-01-01 16:27:00,289.59,P2M,Travel,M00805,Hyderabad,D04266,SUCCESS,M00805
TXN00001956,U01812,2026-01-01 16:30:00,644.37,P2P,P2P,,Bengaluru,D02772,SUCCESS,U03223
TXN00044706,U02915,2026-01-01 16:33:00,213.53,P2M,Grocery,M01406,Bengaluru,D01430,SUCCESS,M01406
TXN00007267,U02404,2026-01-01 16:36:00,421.11,P2M,Utilities,M01347,Delhi,D02660,SUCCESS,M01347
TXN00010811,U02391,2026-01-01 16:42:00,109.27,P2M,Shopping,M01060,Ahmedabad,D02473,SUCCESS,M01060
TXN00018087,U02900,2026-01-01 16:43:00,356.15,P2M,Shopping,M00529,Hyderabad,D01158,SUCCESS,M00529
TXN00018871,U03966,2026-01-01 16:43:00,508.51,P2P,P2P,,Hyderabad,D00764,SUCCESS,U01600
TXN00001318,U03969,2026-01-01 16:48:00,154.56,P2P,P2P,,Ahmedabad,D00220,SUCCESS,U04533
TXN00038365,U01707,2026-01-01 16:51:00,113.26,P2P,P2P,,Delhi,D01821,SUCCESS,U03552
TXN00012620,U02130,2026-01-01 17:09:00,246.15,P2M,Utilities,M01083,Hyderabad,D01434,SUCCESS,M01083
TXN00003163,U03736,2026-01-01 17:09:00,135.61,P2M,Other,M00148,Hyderabad,D02056,FAILED,M00148
TXN00030757,U01915,2026-01-01 17:09:00,109.54,P2P,P2P,,Mumbai,D03408,SUCCESS,U01151
TXN00041530,U03122,2026-01-01 17:18:00,546.01,P2P,P2P,,Delhi,D04210,FAILED,U04255
TXN00035321,U01221,2026-01-01 17:19:00,31.28,P2M,Utilities,M01282,Pune,D00704,SUCCESS,M01282
TXN00033133,U04882,2026-01-01 17:21:00,114.35,P2M,Grocery,M01222,Pune,D01582,PENDING,M01222
TXN00022874,U04377,2026-01-01 17:32:00,216.73,P2P,P2P,,Pune,D04265,FAILED,U03527
TXN00039587,U01454,2026-01-01 17:36:00,170.74,P2M,Shopping,M01444,Chennai,D03709,SUCCESS,M01444
TXN00023674,U04988,2026-01-01 17:39:00,347.76,P2P,P2P,,Hyderabad,D00970,SUCCESS,U03284
TXN00005784,U01900,2026-01-01 17:46:00,1192.12,P2M,Shopping,M01327,Mumbai,D00611,SUCCESS,M01327
TXN00046647,U00379,2026-01-01 17:47:00,427.24,P2P,P2P,,Hyderabad,D00212,SUCCESS,U02671
TXN00012148,U00468,2026-01-01 18:00:00,400.41,P2P,P2P,,Hyderabad,D03476,SUCCESS,U01825
TXN00007936,U03197,2026-01-01 18:09:00,412.46,P2P,P2P,,Mumbai,D03235,SUCCESS,U03172
TXN00017735,U00366,2026-01-01 18:10:00,268.41,P2M,Education,M01152,Bengaluru,D03483,SUCCESS,M01152
TXN00040668,U02995,2026-01-01 18:29:00,701.03,P2M,Fuel,M01058,Delhi,D03138,SUCCESS,M01058
TXN00006508,U01849,2026-01-01 18:38:00,304.2,P2M,Fuel,M00546,Bengaluru,D00990,SUCCESS,M00546
TXN00024118,U04623,2026-01-01 18:38:00,163.58,P2P,P2P,,Bengaluru,D00715,SUCCESS,U02236
